Species.name,BodyMass.g,LitSz,MaxLifepsan.m,HabitatBreadth,AdultHeadBodyLen.mm,DietBreadth,GestLen.d,WeanAge.d
Helarctos malayanus,57075.78,1.1,297.6,1,1220.79,3,98.34,90.36
Helogale hirtula,484.63,NA,NA,1,229.75,1,NA,NA
Helogale parvula,281.83,3.49,131,1,201.59,1,54.08,21
Hemigalus derbyanus,1262.7,1.73,144,1,458.63,6,NA,69.6
Herpestes brachyurus,1396.16,3.49,106.8,1,414.47,1,NA,NA
Herpestes edwardsii,1304.67,2,147.6,1,398.22,6,63.09,34.8
Herpestes flavescens,750,NA,NA,1,NA,NA,NA,NA
Herpestes fuscus,2700,3,NA,NA,NA,NA,NA,NA
Herpestes ichneumon,2980.02,3,240,1,573.28,6,75.87,58.09
Herpestes javanicus,750,2.21,120,1,280.02,6,48.48,43.59
Herpestes naso,3002.08,NA,136.8,1,552.74,1,NA,NA
Herpestes pulverulentus,791.4,2.25,104.5,1,349.38,2,60,57.6
Herpestes sanguineus,543.83,2.5,72,1,329.01,6,61.27,54.44
Herpestes smithii,1702.5,2.5,213.6,1,406.27,6,NA,NA
Herpestes urva,2384.19,3,160,1,506.24,6,65.7,NA
Herpestes vitticollis,2380,2.73,153.6,1,476.76,NA,NA,NA
Histriophoca fasciata,80000,1,372,2,1533.92,6,299.18,24.5
Hyaena brunnea,42977.93,2.3,204,2,1198.21,6,95.8,302.44
Hyaena hyaena,35070.51,2.44,288,1,1104.7,6,90.5,118.93
Hydrurga leptonyx,367000,0.96,312,2,3038.33,6,272.79,30.41
Ichneumia albicauda,3628.4,2.35,144,1,571.69,1,NA,270
Ictonyx libyca,225.18,2,60,1,241.77,6,37.78,37.5
Ictonyx striatus,811.02,2.3,160,1,334,6,36.76,59.09
Leopardus colocolo,3934.96,2.5,228,NA,NA,NA,83.1,NA
Leopardus geoffroyi,3590,2.04,252,3,NA,NA,73.5,67.5
Leopardus guigna,2229.98,2.5,132,2,NA,NA,75,NA
Leopardus jacobita,8133.78,2,120,1,599.13,1,NA,NA
Leopardus pardalis,11880,1.66,243.6,1,744.33,1,81.99,106.18
Leopardus tigrinus,2250,1.5,162,2,NA,NA,75.3,54.9
Leopardus wiedii,3270.81,1.5,240,2,598.41,1,82.2,93.4
Leptailurus serval,11999.96,2.35,276,1,832.51,1,73.74,104.68
Leptonychotes weddellii,447000,1,300,2,2539.91,6,314.99,43.35
Liberiictis kuhni,1825.47,NA,NA,1,449.15,6,NA,NA
Lobodon carcinophaga,224000,0.96,468,2,2265.73,1,269.81,31.32
Lontra canadensis,8087.42,2.67,300,2,683.1,1,58.4,121.66
Lontra felina,4500,2.54,NA,2,676.55,2,75.97,300
Lontra longicaudis,6554.97,3.69,324,3,600.05,2,56.1,NA
Lontra provocax,7499.98,1.999999999,120,2,588.17,2,330,49
Lutra lutra,8868.69,2.01,264,2,687.94,1,64.27,100.8
Lutra maculicollis,4180.53,2,274.8,2,594.08,1,59.6,60.48
Lutra sumatrana,5970.68,NA,NA,2,762.81,1,60,NA
Lutrogale perspicillata,8912.49,3.24,180,2,787.64,2,63.31,72.53
Lycaon pictus,21999.99,8.1,132,1,923.86,1,71.18,27.28
Lyncodon patagonicus,225,NA,NA,1,323.41,NA,NA,NA
Lynx canadensis,9682.82,2.73,321,1,702.3,1,62.5,111.36
Lynx lynx,19300,2.3,321.6,1,851.2,1,66.99,81.85
Lynx pardinus,11050,2.5,156,1,960.08,1,69.44,NA
Lynx rufus,6374.47,2.76,388,1,689.81,1,59.99,59.99
Macrogalidia musschenbroekii,5148.86,NA,NA,1,687.94,6,NA,NA
Martes americana,873.69,2.6,228,1,381.36,1,27.63,45.73
Martes flavigula,2504.64,3.53,168,1,548.36,1,149.65,89.49
Martes foina,1675,3.78,217.2,1,458.63,1,29.86,74.11
Martes gwatkinsii,2038.49,3,168,1,511.33,3,45,90.73
Martes martes,1299.99,3.49,204,1,457.01,1,30.63,54.19
Martes melampus,1000,3,147.6,1,440.51,NA,45,NA
Martes pennanti,3750,3.02,121.76,1,749.51,1,31.28,76.76
Martes zibellina,1173.91,3.13,180,1,449.9,6,30.8,52.23
Meles anakuma,5100,3,234,1,NA,NA,49,60
Meles leucurus,6.25,3,180,1,NA,NA,NA,NA
Meles meles,11884.03,3.11,194.4,1,705.89,1,48.6,91.3
