Species_Name,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X8.1_AdultForearmLen_mm,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X7.1_DispersalAge_d,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n.km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,X5.5_AdultBodyMass_g_EXT,X16.2_LittersPerYear_EXT,X5.6_NeonateBodyMass_g_EXT,X5.7_WeaningBodyMass_g_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,USA_Endangered,Extinct,IUCN_LISTED
Callicebus donacophilus,3,897.67,156.2287,331.5082,8.825,819.731,520.7142,1206.9622,2.91,346.9709,140.7233,1,0.16859,0.3530525,358.4877,1.02,1.085,192.3896,80.705,114.9733,64.6699,100.9592,666.9324,1,4.45,130.0306,381.3199,258.0258,2747.7521,1.1477,59427.0287,230051.2857,288759.02,-10.45,-21.29,-15.87,-57.52,-67.21,-62.37,0,3.63,0,0.17,108.93,244.32,1238.19,1469.11,0,0,0
Callicebus dubius,3,992.4,151.3798,393.2948,8.8109,904.0816,957.3684,1994.2497,2.53,384.8214,156.0838,1,0.4233386,0.445277,363.3429,1.02,1.055,222.634,176.3838,139.8213,48.1504,43.088,679.6823,1,4.02,137.7287,626.4241,285.2851,3762.2133,1.1237,59442.7408,230164.5565,150088.5693,2.8527,-3.902,-1.3371,27.7891,17.3482,23.5741,5.37,75.9879,8.775,0.1352,134.0638,228.2189,1363.08,1556.7795,0,0,0
Callicebus hoffmannsi,3,1067.61,151.2653,340.4873,11.4998,836.3291,570.2963,1267.5525,2.95,346.338,146.0962,1,0.1857841,0.1868322,346.0371,1.02,1.085,195.2679,72.7618,120.7333,38.4601,157.1872,653.2193,1,4.79,121.1774,406.8675,271.428,5660.3287,1.1506,79492.2387,230057.7264,98076.46,-1.95,-6,-3.97,-54.87,-59.21,-57.04,0,2.6,0,0.1,158.41,258.18,1417.63,1610.4,0,0,0
Callicebus lucifer,1.86,91062.2142,115.4785,1496.489,6.3036,818.9097,17577.7469,66587.9972,2.15,249.3957,213.9716,1.02,7.4199155,8.7887,357.8442,1.1454,1.1274,220.7608,4866.0466,521.1893,110.9182,100.754,753.0525,8.642,3.86,126.8796,17807.0986,444.4078,4387.7186,1.1389,21789.0428,338536.7811,126379.606,6.4147,0.8742,3.0945,30.0742,19.8046,24.7617,8.07,93.1572,12.535,0.1282,130.4669,229.5897,1311.0362,1572.8719,0,0,0
Callicebus lugens,1.86,91062.2142,115.4785,1496.489,6.3036,818.9097,17577.7469,66587.9972,2.15,249.3957,213.9716,1.02,7.4199155,8.7887,357.8442,1.1454,1.1274,220.7608,4866.0466,521.1893,110.9182,100.754,753.0525,8.642,3.86,126.8796,17807.0986,444.4078,4387.7186,1.1389,21789.0428,338536.7811,126379.606,6.4147,0.8742,3.0945,30.0742,19.8046,24.7617,8.07,93.1572,12.535,0.1282,130.4669,229.5897,1311.0362,1572.8719,0,0,0
Callicebus medemi,2.97,2780.4132,124.9916,469.8443,8.9296,739.2943,913.8364,2868.1781,3.69,367.864,131.2004,1.1,0.48772,1.361412,312.1985,1.5993,1.2412,182.8676,239.6134,168.5684,76.9392,39.3825,638.0493,3.3343,4.95,111.4563,820.0481,255.2227,1986.725,1.1967,23203.1607,229926.4282,36587.57,0.95,-1.66,-0.35,-74.42,-76.71,-75.56,1,5.6,1,0.15,152.17,292.08,1435.56,1446.17,0,0,0
Callicebus melanochir,1.21,636.4743,110.6116,278.5956,13.5323,522.7811,363.14,694.5713,2.58,253.5608,123.5418,1.04,0.07985892,0.0550791,283.6812,1.2676,1.1885,136.2536,44.8966,96.2395,177.3726,71.452,409.206,1.244,4.59,88.391,189.9619,209.1161,473.5308,1.2953,24619.92,216254.6549,60497.71,-12.83,-18.16,-15.5,-38.72,-40.46,-39.59,7,46.93,11,0.08,137.48,232.78,1460.59,1650.42,0,0,0
Callicebus modestus,3,992.4,153.6011,359.5338,8.4952,823.8295,660.0254,1773.8684,2.94,350.2913,140.4134,1,0.1807828,0.2062645,360.6594,1.02,1.0687,212.1005,90.9677,117.7706,61.6978,202.2965,719.5896,1,4.58,137.5198,480.7946,266.7306,3228.5343,1.1516,59422.1674,230058.2027,17288.42,-14.25,-15.67,-14.96,-65.93,-67.39,-66.66,1,2.76,1,0.47,119.01,225.42,1432.14,1548.82,0,0,0
Caluromys derbianus,1,326.72,90.7632,231,13.1604,367.3903,215.11,344,3,154.3099,61.6417,1,0.17658947,0.1481556,189.9822,3.14,1.9753,60,20.2789,77.0678,11.86,5161.3473,251.71,1,6.6,59.557,105.5974,203.3602,23118.0879,1.5407,9059.8644,216392.9008,678553.48,20.73,-2.92,8.9,-76.63,-98.33,-87.48,2,53.45,3,0.14,189.71,234.61,1341.7,1596.59,0,0,0
Caluromys lanatus,1,350.33,91.7853,273.3,19.9823,348.0072,291.1152,583.9218,4,141.1592,65.7499,2,0.141341,0.04803075,188.2087,2.6722,1.943,60,24.7631,80.2144,350.6606,214.2906,287.8229,1,6.2,52.5571,115.1929,211.3697,544.3489,1.6779,4547.8095,300034.2039,3683731.12,9.07,-28.1,-9.51,-53.2,-77.39,-65.29,0,5.36,0,0.13,175.31,245.59,1392.87,1501.45,0,0,0
Caluromys philander,1,246.47,90.4803,224.27,75,334.58,824.3851,703.1559,4,161.9358,23.99,2,0.00996,0.02,166.5,4.18,2,76,0.2,10,62.32,688.6404,314.52,1,7,119.65,23,181.5173,1043.0745,1.7314,4539.2937,300255.721,3212264.13,12.2,-24.58,-6.19,-40.35,-72.87,-56.61,0,39.68,0,0.12,144.03,239.14,1356.51,1583.7,0,0,0
Caluromysiops irrupta,1,257.48,101.3091,234.52,6.0274,469.2557,270.284,414.0688,3,184.9632,96.0655,1,0.16714004,0.16059586,225.7084,2,1.712,94,38.8698,105.128,8.85,15067.4462,350.9099,1,5.45,67.7191,309.5338,234.0092,22977.7053,1.4506,9069.8354,233869.2531,188864.44,-9.34,-12.69,-11.01,-61.99,-73.48,-67.73,0,3.51,0,0.27,189.96,246.03,1362.63,1563.51,0,0,0
Calyptophractus retusus,1.14,129.99,70.9808,157.5,14.8686,193.5025,106.3755,118.105,4,117.0701,50.9281,2,0.06825486,0.03471982,78.7129,4.1147,2.5345,144,8.3476,45.1086,1123.3244,10052.7002,159.0598,1.1108,6.99,29.1697,34.3139,121.3836,147.7539,2.5476,6.268,300757.6991,1081453.8,-12.69,-29.92,-21.3,-56.47,-65.76,-61.11,0,4.33,0,0.12,87.68,228.45,1016.9,1327.63,0,0,0
Camelus bactrianus,2.36,554515.91,140.6167,2854.7441,17.736,1460,46072.4864,205356.9204,2,729.2649,397.99,1,5679.357826,3181.141,730,1.39,1,480,34346.64,982.8031,0.06,21214.2455,1330.6,6.2,3.27,368.13,304066.5493,1599.6677,189476.2484,0.8007,181200.0769,181934.0051,188693,44.71,37.98,41.34,97.58,90.75,94.17,0,1.83,0,0.01,9.94,53.72,66.85,612.43,0,0,0
